id,before_information,before_leaning,after_information,after_leaning,created_at,updated_at
25,4,9,88,99,2013-12-04 05:33:32.204121,2013-12-04 05:33:32.204121
26,4,9,88,99,2013-12-04 05:33:35.827342,2013-12-04 05:33:35.827342
27,85,86,99,97,2013-12-04 05:46:35.956743,2013-12-04 05:46:35.956743
28,81,85,72,76,2013-12-04 05:50:32.214841,2013-12-04 05:50:32.214841
29,78,92,60,94,2013-12-04 06:01:51.677018,2013-12-04 06:01:51.677018
30,0,,83,83,2013-12-04 06:20:25.37125,2013-12-04 06:20:25.37125
31,0,,83,83,2013-12-04 06:20:32.514382,2013-12-04 06:20:32.514382
32,50,,72,89,2013-12-04 06:31:07.041103,2013-12-04 06:31:07.041103
33,50,,72,89,2013-12-04 06:31:19.251079,2013-12-04 06:31:19.251079
34,0,36,30,41,2013-12-04 09:30:31.700171,2013-12-04 09:30:31.700171
35,,,52,57,2013-12-04 12:08:27.911034,2013-12-04 12:08:27.911034
36,100,20,79,28,2013-12-04 12:32:15.297377,2013-12-04 12:32:15.297377
37,97,98,99,98,2013-12-04 12:44:37.243768,2013-12-04 12:44:37.243768
38,0,,40,65,2013-12-04 14:51:38.741109,2013-12-04 14:51:38.741109
39,95,74,78,86,2013-12-04 14:53:34.944231,2013-12-04 14:53:34.944231
40,76,14,51,51,2013-12-04 15:22:49.356361,2013-12-04 15:22:49.356361
41,76,14,51,51,2013-12-04 15:22:56.560726,2013-12-04 15:22:56.560726
42,100,0,100,0,2013-12-04 16:01:12.545162,2013-12-04 16:01:12.545162
43,100,0,100,0,2013-12-04 16:01:23.716561,2013-12-04 16:01:23.716561
44,57,58,72,82,2013-12-04 16:45:29.048844,2013-12-04 16:45:29.048844
45,4,31,64,71,2013-12-04 17:08:58.23618,2013-12-04 17:08:58.23618
46,0,,65,65,2013-12-04 19:35:33.027954,2013-12-04 19:35:33.027954
47,98,100,100,100,2013-12-04 22:07:14.299174,2013-12-04 22:07:14.299174
48,34,65,55,62,2013-12-04 23:52:22.684961,2013-12-04 23:52:22.684961
49,71,100,100,100,2013-12-05 00:00:08.797811,2013-12-05 00:00:08.797811
50,84,76,100,100,2013-12-05 02:22:11.159881,2013-12-05 02:22:11.159881
51,60,48,86,63,2013-12-05 02:30:40.153887,2013-12-05 02:30:40.153887
52,24,12,94,95,2013-12-05 14:45:06.738211,2013-12-05 14:45:06.738211
53,24,12,94,95,2013-12-05 14:45:13.623625,2013-12-05 14:45:13.623625
54,44,29,53,40,2013-12-05 14:51:07.619555,2013-12-05 14:51:07.619555
55,21,33,80,30,2013-12-05 15:23:30.577026,2013-12-05 15:23:30.577026
56,34,57,78,79,2013-12-05 15:39:28.758194,2013-12-05 15:39:28.758194
57,47,68,20,54,2013-12-05 15:42:11.925537,2013-12-05 15:42:11.925537
58,0,,,64,2013-12-05 15:48:26.413392,2013-12-05 15:48:26.413392
59,24,12,94,95,2013-12-05 15:52:42.711025,2013-12-05 15:52:42.711025
60,,100,63,100,2013-12-05 15:59:46.69465,2013-12-05 15:59:46.69465
61,,100,63,100,2013-12-05 15:59:48.186915,2013-12-05 15:59:48.186915
62,87,20,82,22,2013-12-05 17:31:30.092266,2013-12-05 17:31:30.092266
63,18,21,71,77,2013-12-05 17:46:11.480149,2013-12-05 17:46:11.480149
64,18,21,71,77,2013-12-05 17:46:19.679312,2013-12-05 17:46:19.679312
65,0,,70,70,2013-12-05 18:47:43.104492,2013-12-05 18:47:43.104492
66,0,,70,70,2013-12-05 18:47:45.914898,2013-12-05 18:47:45.914898
67,100,100,100,100,2013-12-05 19:34:49.160677,2013-12-05 19:34:49.160677
68,100,100,100,100,2013-12-05 19:35:09.739569,2013-12-05 19:35:09.739569
69,0,32,62,15,2013-12-05 19:58:39.314646,2013-12-05 19:58:39.314646
70,0,32,62,15,2013-12-05 19:58:47.255032,2013-12-05 19:58:47.255032
71,0,48,71,72,2013-12-05 21:34:18.969496,2013-12-05 21:34:18.969496
72,0,28,,30,2013-12-05 21:38:07.55069,2013-12-05 21:38:07.55069
